Date,AdjClose
12/1/2000,19.844896
12/4/2000,20.230719
12/5/2000,19.6436
12/6/2000,19.358421
12/7/2000,19.744246
12/8/2000,19.123573
12/11/2000,18.536442
12/12/2000,19.308094
12/13/2000,19.442295
12/14/2000,19.727465
12/15/2000,19.15712
12/18/2000,19.492624
12/19/2000,19.626823
12/20/2000,19.475849
12/21/2000,19.995867
12/22/2000,19.794567
12/26/2000,19.979094
12/27/2000,20.532679
12/28/2000,20.733973
12/29/2000,21.0527
1/2/2001,21.069473
1/3/2001,20.029419
1/4/2001,19.408749
1/5/2001,20.113298
1/8/2001,20.549446
1/9/2001,20.029419
1/10/2001,19.811346
1/11/2001,19.526175
1/12/2001,18.871948
1/16/2001,19.308094
1/17/2001,18.930504
1/18/2001,19.099068
1/19/2001,18.86306
1/22/2001,18.643923
1/23/2001,18.728212
1/24/2001,18.86306
1/25/2001,18.86306
1/26/2001,18.677637
1/29/2001,18.030338
1/30/2001,19.176605
1/31/2001,19.376194
2/1/2001,19.945299
2/2/2001,19.894045
2/5/2001,20.053169
2/6/2001,19.991144
2/7/2001,20.279736
2/8/2001,20.201515
2/9/2001,20.225792
2/12/2001,20.255463
2/13/2001,20.107124
2/14/2001,19.875162
2/15/2001,19.921015
2/16/2001,20.185331
2/20/2001,20.419991
2/21/2001,20.713974
2/22/2001,20.525179
2/23/2001,20.236588
2/26/2001,19.179308
2/27/2001,19.068718
2/28/2001,19.01479
3/1/2001,18.515818
3/2/2001,18.785524
3/5/2001,18.923073
3/6/2001,18.623697
3/7/2001,18.480747
3/8/2001,19.149633
3/9/2001,18.647963
3/12/2001,18.407927
3/13/2001,18.378252
3/14/2001,17.962894
3/15/2001,17.515175
3/16/2001,17.450449
3/19/2001,17.774101
3/20/2001,17.774101
3/21/2001,17.045877
3/22/2001,16.9245
3/23/2001,16.236732
3/26/2001,16.296078
3/27/2001,16.770761
3/28/2001,16.741095
3/29/2001,16.519932
3/30/2001,16.88405
4/2/2001,16.614328
4/3/2001,16.479481
4/4/2001,16.417446
4/5/2001,16.600857
4/6/2001,16.635918
4/9/2001,16.274492
4/10/2001,15.832161
4/11/2001,15.907683
4/12/2001,15.859127
4/16/2001,15.953534
4/17/2001,15.481546
4/18/2001,15.584655
4/19/2001,15.999855
4/20/2001,15.739339
4/23/2001,15.752905
4/24/2001,15.370276
4/25/2001,15.619938
4/26/2001,15.820746
4/27/2001,16.235939
4/30/2001,16.295645
5/1/2001,17.416391
5/2/2001,17.408257
5/3/2001,17.440813
5/4/2001,17.440813
5/7/2001,17.543941
5/8/2001,17.503227
5/9/2001,17.961843
5/10/2001,17.866858
5/11/2001,17.774593
5/14/2001,17.923849
5/15/2001,17.904856
5/16/2001,18.531712
5/17/2001,18.222349
5/18/2001,18.311903
5/21/2001,17.706753
5/22/2001,17.367548
5/23/2001,17.419109
5/24/2001,17.435387
5/25/2001,17.231863
5/29/2001,17.54122
5/30/2001,17.467953
5/31/2001,17.432671
6/1/2001,17.234577
6/4/2001,17.258987
6/5/2001,17.38925
6/6/2001,17.549368
6/7/2001,17.617208
6/8/2001,17.443525
6/11/2001,17.462523
6/12/2001,17.774593
6/13/2001,17.625338
6/14/2001,17.600914
